Date,dollar,vix,STLFSI4,vxy_g7,vxy_em,gepu
2006-01-01,100.0,12.949999809265137,-0.9183,8.74,9.09,70.52274860163142
2006-02-01,100.2112,12.34000015258789,-1.0344,8.34,8.82,58.94786492964828
2006-03-01,100.4281,11.390000343322754,-1.0326,8.41,8.91,58.25875775921993
2006-04-01,99.7435,11.59000015258789,-1.0279,8.64,9.04,71.35189610192259
2006-05-01,97.5118,16.440000534057617,-0.9744,9.58,11.61,63.048925396226345
2006-06-01,98.6927,13.079999923706055,-0.8228,8.61,10.64,72.2382294714646
2006-07-01,98.4387,14.949999809265137,-0.8745,8.41,9.11,69.32771057749316
2006-08-01,97.7138,12.3100004196167,-0.9589,8.2,8.87,60.12461270391819
2006-09-01,97.9814,11.979999542236328,-0.8882,6.93,8.47,58.18934352720282
2006-10-01,98.3157,11.100000381469727,-0.9611,6.47,7.49,61.06836574420236
2006-11-01,97.5133,10.90999984741211,-0.958,7.36,7.8,58.2593072502782
2006-12-01,96.7951,11.5600004196167,-0.921,6.76,7.38,57.41511922669259
2007-01-01,97.8338,10.420000076293945,-1.0248,6.81,6.96,64.46652923998974
2007-02-01,97.4764,15.420000076293945,-1.1077,6.67,7.29,54.74300616632254
2007-03-01,97.0118,14.640000343322754,-0.8601,7.05,6.94,64.72710807948098
2007-04-01,95.6322,14.220000267028809,-1.0067,6.48,6.41,60.55719756919328
2007-05-01,94.7225,13.050000190734863,-0.9459,5.95,6.64,57.153401744199
2007-06-01,94.4449,16.229999542236328,-0.7375,6.01,6.78,56.368568178793666
2007-07-01,93.2059,23.520000457763672,-0.5754,7.17,6.99,47.588486288361146
2007-08-01,93.7603,23.3799991607666,0.7301,8.87,8.07,78.34784311669759
2007-09-01,92.4366,18.0,1.1198,8.03,7.46,99.7664252558335
2007-10-01,90.4002,18.530000686645508,0.6282,8.24,8.18,79.31186435922831
2007-11-01,89.053,22.8700008392334,1.3578,9.81,9.09,82.9155522032911
2007-12-01,90.005,22.5,1.7516,10.03,8.39,96.76560774345415
2008-01-01,89.3971,26.200000762939453,1.3769,10.32,9.04,134.64482218286452
2008-02-01,88.6434,26.540000915527344,1.2746,10.95,9.28,99.4145940800045
2008-03-01,86.8399,25.610000610351562,2.1401,12.49,10.45,119.60275977856372
2008-04-01,86.5475,20.790000915527344,1.8121,10.89,9.62,91.66161896115814
2008-05-01,86.8245,17.829999923706055,1.1159,9.96,10.04,78.03404971021448
2008-06-01,87.0728,23.950000762939453,1.3973,10.28,9.37,87.02071734832482
2008-07-01,86.4538,22.940000534057617,1.652,9.44,8.84,96.36275379213401
2008-08-01,88.945,20.649999618530273,1.617,10.33,9.51,90.2485006521332
2008-09-01,91.2651,39.38999938964844,3.1347,14.48,14.33,162.48055542344935
2008-10-01,98.04,59.88999938964844,8.4795,23.03,25.53,208.55935525706138
2008-11-01,100.7667,55.279998779296875,6.71,19.69,25.86,143.5350557937066
2008-12-01,99.6622,40.0,6.0797,20.04,25.43,144.60486321999096
2009-01-01,100.3521,44.84000015258789,4.1802,19.9,22.64,145.30676023297832
2009-02-01,102.9737,46.349998474121094,3.8896,17.65,21.12,147.44491738946704
2009-03-01,103.4397,44.13999938964844,3.8288,17.22,19.34,132.28776741479626
2009-04-01,100.7162,36.5,2.8211,13.96,17.75,102.29239178025952
2009-05-01,97.5519,28.920000076293945,1.785,15.23,17.24,103.91299609212474
2009-06-01,96.0426,26.350000381469727,1.3697,13.61,14.69,116.62711109185173
2009-07-01,95.6606,25.920000076293945,0.9988,12.79,13.86,106.25893991265355
2009-08-01,94.373,26.010000228881836,0.6174,12.87,13.49,103.04966252756878
2009-09-01,93.6638,25.610000610351562,0.3193,12.55,12.99,105.98612316655009
2009-10-01,92.2598,30.690000534057617,0.2921,13.51,14.65,92.06770750862844
2009-11-01,91.7996,24.510000228881836,0.1833,13.66,13.69,104.98010791148249
2009-12-01,92.2586,21.68000030517578,-0.0832,13.48,13.35,102.3738053721924
2010-01-01,92.4403,24.6200008392334,-0.204,12.47,12.74,117.67233394351534
2010-02-01,93.8867,19.5,-0.1015,12.06,12.01,114.12997789513584
2010-03-01,93.1499,17.59000015258789,-0.421,11.3,9.92,114.16618394477351
2010-04-01,92.6391,22.049999237060547,-0.3838,11.38,10.21,108.80332595303653
2010-05-01,95.5306,32.06999969482422,0.687,14.17,14.03,147.35271747551585
2010-06-01,96.0606,34.540000915527344,0.715,13.83,13.85,138.05363589359015
2010-07-01,94.4547,23.5,0.5016,11.38,11.11,148.44795299764223
2010-08-01,93.6822,26.049999237060547,0.373,12.54,11.41,123.34952702944828
2010-09-01,92.7626,23.700000762939453,0.1021,11.8,10.8,133.2687605714103
2010-10-01,90.2291,21.200000762939453,-0.0814,12.91,12.15,126.83336865932203
2010-11-01,90.5095,23.540000915527344,-0.0897,13.04,12.14,131.48753550780665
2010-12-01,91.1835,17.75,-0.2021,12.6,11.46,134.76192624958907
2011-01-01,90.1112,19.530000686645508,-0.3113,11.32,10.45,114.31861704313937
2011-02-01,89.3967,18.350000381469727,-0.3168,10.34,10.42,96.57907686329665
2011-03-01,88.4872,17.739999771118164,-0.1869,10.81,8.92,130.36071276295712
2011-04-01,86.9214,14.75,-0.4215,11.09,9.28,118.82751569774082
2011-05-01,86.9464,15.449999809265137,-0.3289,11.37,9.27,93.95926547927444
2011-06-01,86.9413,16.520000457763672,-0.1559,10.62,9.05,124.52442225987642
2011-07-01,86.3178,25.25,-0.2716,11.72,9.34,153.82885984326128
2011-08-01,86.8982,31.6200008392334,0.7596,12.07,11.33,216.75711838429405
2011-09-01,89.7253,42.959999084472656,0.8842,14.24,17.05,194.41022780761008
2011-10-01,90.6098,29.959999084472656,0.7046,12.35,13.98,166.33759690386063
2011-11-01,91.2649,27.799999237060547,0.973,13.43,14.62,191.7761114204524
2011-12-01,92.2056,23.399999618530273,0.6991,12.35,13.73,178.07909760261643
2012-01-01,91.6463,19.440000534057617,0.4586,10.56,11.03,154.60602395879906
2012-02-01,89.9605,18.43000030517578,0.1567,10.31,10.14,141.12412244454075
2012-03-01,90.5112,15.5,-0.0151,10.04,9.72,132.41014631139356
2012-04-01,90.8156,17.149999618530273,0.0881,9.1,9.01,129.83842375850958
2012-05-01,92.4928,24.059999465942383,0.2073,11.45,12.67,159.69718380001015
2012-06-01,93.8809,17.079999923706055,0.2484,9.55,10.48,183.18487261203407
2012-07-01,93.4062,18.93000030517578,0.0545,9.44,9.99,152.0852124452586
2012-08-01,92.5283,17.469999313354492,-0.1343,8.94,9.54,116.96839694186473
2012-09-01,90.9802,15.729999542236328,-0.36,7.86,8.16,153.5869384600671
2012-10-01,90.7566,18.600000381469727,-0.468,7.55,7.38,151.12166580863942
2012-11-01,91.4751,15.869999885559082,-0.3767,7.53,7.45,165.75635341180524
2012-12-01,90.8804,18.020000457763672,-0.5144,8.18,7.42,170.16380835460885
2013-01-01,90.8255,14.279999732971191,-0.6424,8.81,7.55,167.12465300401243
2013-02-01,91.5509,15.510000228881836,-0.6031,9.48,7.36,122.75716917827998
2013-03-01,92.4132,12.699999809265137,-0.6556,9.24,7.21,145.56859862171578
2013-04-01,92.0478,13.520000457763672,-0.6198,8.73,7.2,136.20573390160476
2013-05-01,92.529,16.299999237060547,-0.5934,10.21,9.76,107.75691938636902
2013-06-01,93.2836,16.860000610351562,-0.0752,11.02,10.96,127.51606137664947
2013-07-01,93.8724,13.449999809265137,-0.3707,9.99,9.9,107.95890058768815
2013-08-01,93.7149,17.010000228881836,-0.3071,10.15,11.74,119.31401795530486
2013-09-01,93.4706,16.600000381469727,-0.349,8.86,10.11,138.6233897021561
2013-10-01,92.4993,13.75,-0.4535,7.96,8.28,168.48061820680076
2013-11-01,93.3737,13.699999809265137,-0.5717,8.21,8.83,103.83916646198959
2013-12-01,93.534,13.720000267028809,-0.5565,8.56,9.25,122.64177002804905
2014-01-01,94.4647,18.40999984741211,-0.5483,8.53,10.24,115.25755875656071
2014-02-01,94.6456,14.0,-0.5811,7.56,8.75,101.14727336265942
2014-03-01,94.4408,13.880000114440918,-0.6178,7.49,8.51,114.65237885062528
2014-04-01,93.9956,13.40999984741211,-0.6294,6.32,8.07,110.45015023216153
2014-05-01,93.67,11.399999618530273,-0.7093,5.92,6.88,106.83907357078779
2014-06-01,93.8274,11.569999694824219,-0.8059,5.4,5.91,91.1482114082586
2014-07-01,93.6039,16.950000762939453,-0.7208,6.01,6.85,94.17998564529094
2014-08-01,94.5808,12.09000015258789,-0.6123,5.97,6.37,96.85071970344437
2014-09-01,96.1209,16.309999465942383,-0.5088,7.67,8.14,121.73330987420927
2014-10-01,97.4396,14.029999732971191,-0.2814,7.84,7.73,112.59083773760791
2014-11-01,99.1147,13.329999923706055,-0.4001,8.77,8.03,119.36406517732429
2014-12-01,101.4441,19.200000762939453,-0.1783,9.71,10.79,111.29673945685165
2015-01-01,103.7607,20.969999313354492,0.031,11.33,10.97,129.05862693182343
2015-02-01,105.1685,13.34000015258789,-0.2291,9.17,9.91,115.61559524982279
2015-03-01,107.3647,15.289999961853027,-0.1834,11.1,10.56,111.3781448434738
2015-04-01,106.3523,14.550000190734863,-0.328,10.0,10.09,100.97814202399941
2015-05-01,105.4065,13.84000015258789,-0.298,10.1,9.37,104.46210434787858
2015-06-01,106.179,18.229999542236328,-0.2214,10.18,9.07,119.21169438298865
2015-07-01,108.1236,12.119999885559082,-0.1138,9.31,9.36,123.09581595749549
2015-08-01,109.9767,28.43000030517578,0.1629,10.37,11.63,119.81714603791028
2015-09-01,110.8513,24.5,0.2705,10.26,12.42,153.68748113179885
2015-10-01,109.9036,15.069999694824219,0.1885,9.37,10.81,115.96898203730355
2015-11-01,111.6916,16.1299991607666,0.0491,9.86,10.81,105.3314587780463
2015-12-01,112.7857,18.209999084472656,0.375,9.19,11.38,112.56950499373438
2016-01-01,115.2344,20.200000762939453,0.6809,10.08,12.06,144.52665766496807
2016-02-01,114.2817,20.549999237060547,0.7725,11.43,11.95,147.48300213264932
2016-03-01,111.8934,13.949999809265137,0.2065,10.93,11.56,159.28977291016236
2016-04-01,110.0171,15.699999809265137,0.1696,10.98,10.33,142.29600124441353
2016-05-01,111.1405,14.1899995803833,0.1289,10.19,10.38,125.81350028030027
2016-06-01,111.5596,15.630000114440918,0.2743,11.07,10.38,231.05573344420372
2016-07-01,112.4773,11.869999885559082,0.202,9.53,9.43,204.9228587156837
2016-08-01,111.4384,13.420000076293945,0.2567,10.42,10.11,134.74163051003325
2016-09-01,112.3169,13.289999961853027,0.3429,9.98,10.46,135.50843354811593
2016-10-01,113.4747,17.059999465942383,0.1495,9.56,9.85,126.4360770997193
2016-11-01,116.1075,13.329999923706055,0.0821,10.78,10.76,228.7257194746165
2016-12-01,117.9048,14.039999961853027,-0.1155,11.23,11.34,184.98364258927208
2017-01-01,117.7858,11.989999771118164,-0.1251,10.52,10.72,247.29754147936166
2017-02-01,116.1204,12.920000076293945,-0.2103,10.15,9.58,186.28732769294118
2017-03-01,115.6558,12.369999885559082,-0.3666,8.86,9.07,236.02181683318673
2017-04-01,114.7698,10.819999694824219,-0.3712,8.13,8.61,176.40003710496936
2017-05-01,114.2591,10.40999984741211,-0.5642,7.67,8.35,144.09811272073168
2017-06-01,112.7603,11.180000305175781,-0.6208,7.63,7.78,171.71627059966727
2017-07-01,111.0606,10.260000228881836,-0.6459,8.16,7.47,164.9591009516385
2017-08-01,109.9059,10.59000015258789,-0.5006,8.23,7.51,140.6259306511348
2017-09-01,108.8542,9.510000228881836,-0.6006,8.37,7.91,157.6540748050436
2017-10-01,110.8892,10.180000305175781,-0.7189,7.4,8.07,144.50923773473738
2017-11-01,111.1635,11.279999732971191,-0.7247,7.37,8.0,159.90805790363834
2017-12-01,110.8758,11.039999961853027,-0.6567,7.21,7.85,148.16699621114816
2018-01-01,108.3568,13.539999961853027,-0.6653,7.97,8.22,177.71403301677506
2018-02-01,107.6501,19.850000381469727,-0.2569,7.92,8.05,125.99200449060847
2018-03-01,107.9472,19.969999313354492,0.0741,7.64,7.97,181.6901391229753
2018-04-01,107.9434,15.930000305175781,0.0885,7.1,8.34,165.0225491320811
2018-05-01,111.047,15.430000305175781,-0.1965,7.73,9.29,171.49932503519423
2018-06-01,112.8444,16.09000015258789,-0.2074,7.47,9.75,164.91752705189032
2018-07-01,113.0595,12.829999923706055,-0.4076,7.11,9.99,227.49118600017695
2018-08-01,113.8316,12.859999656677246,-0.5552,7.69,12.52,172.16646480818656
2018-09-01,114.0787,12.119999885559082,-0.7248,7.56,10.35,193.32195627597463
2018-10-01,114.8313,21.229999542236328,-0.4916,7.81,10.28,213.58534986857518
2018-11-01,116.169,18.06999969482422,-0.1666,7.97,10.17,247.13327892405806
2018-12-01,116.2118,25.420000076293945,0.4154,8.69,9.73,220.3905672413882
2019-01-01,114.4425,16.56999969482422,-0.038,7.54,8.86,243.99054678658453
2019-02-01,114.413,14.779999732971191,-0.3321,6.77,8.29,173.79769550537634
2019-03-01,114.7835,13.710000038146973,-0.5074,6.89,9.22,240.87607356546934
2019-04-01,114.9038,13.119999885559082,-0.6866,6.04,8.03,191.28384853645807
2019-05-01,115.9574,18.709999084472656,-0.4173,6.19,8.51,223.54791390088798
2019-06-01,115.4271,15.079999923706055,-0.3329,6.29,8.24,320.4310665201146
2019-07-01,115.0776,16.1200008392334,-0.461,6.42,7.01,249.39605046668876
2019-08-01,117.1004,18.979999542236328,0.0028,7.89,8.89,290.65585871241694
2019-09-01,117.3239,16.239999771118164,-0.1272,6.88,8.15,237.37555726286612
2019-10-01,116.7463,13.220000267028809,0.0551,6.14,7.19,202.25403568557496
2019-11-01,116.5595,12.619999885559082,-0.1083,5.52,6.83,242.6026066416673
2019-12-01,115.9096,13.779999732971191,-0.234,5.79,6.58,232.09853032302175
2020-01-01,115.2794,18.84000015258789,-0.3344,5.46,6.82,191.721791492481
2020-02-01,116.7105,40.11000061035156,-0.2099,7.19,8.14,196.49325687323858
2020-03-01,121.0227,53.540000915527344,3.9637,10.66,12.34,318.4648591140121
2020-04-01,123.2803,34.150001525878906,2.5138,7.81,11.03,328.13263909267255
2020-05-01,122.615,27.510000228881836,0.7478,7.05,10.84,415.7433513381408
2020-06-01,119.6766,30.43000030517578,0.2922,7.44,10.54,309.5923035474373
2020-07-01,118.6901,24.459999084472656,0.0627,7.77,10.29,313.1465900918374
2020-08-01,116.9453,26.40999984741211,-0.1973,8.5,11.07,289.35592920994884
2020-09-01,116.3431,26.3700008392334,0.0178,8.12,11.83,309.3344640447869
2020-10-01,115.7798,38.02000045776367,0.0032,7.95,11.61,306.5552708878756
2020-11-01,114.0984,20.56999969482422,-0.2749,6.92,10.14,397.37945265644953
2020-12-01,111.8992,22.75,-0.4114,7.1,10.76,302.48026692951555
2021-01-01,111.4873,33.09000015258789,-0.4509,6.63,10.36,271.75653651100254
2021-02-01,112.0171,27.950000762939453,-0.6046,7.48,10.73,195.1068145269577
2021-03-01,113.3366,19.399999618530273,-0.5145,6.74,11.01,212.04868951840004
2021-04-01,112.6323,18.610000610351562,-0.7609,6.25,9.52,193.9223276543613
2021-05-01,111.2123,16.760000228881836,-0.7662,6.32,9.14,173.12515293203327
2021-06-01,111.5777,15.829999923706055,-0.8018,6.11,8.61,170.97337846011976
2021-07-01,113.0633,18.239999771118164,-0.7358,6.04,8.63,189.07865457809666
2021-08-01,113.4025,16.479999542236328,-0.7289,5.89,8.52,201.28162501514726
2021-09-01,113.4437,23.139999389648438,-0.6723,6.1,8.87,211.94786926470647
2021-10-01,114.0635,16.260000228881836,-0.7416,6.33,9.13,187.2398433784515
2021-11-01,114.9898,27.190000534057617,-0.6611,7.34,10.75,229.32187991367334
2021-12-01,115.8045,17.219999313354492,-0.5448,6.05,11.34,258.40928353024697
2022-01-01,115.0373,24.829999923706055,-0.4868,6.69,9.39,221.70366663726656
2022-02-01,114.9977,30.149999618530273,-0.3179,7.42,10.66,175.82258801196468
2022-03-01,116.2908,20.559999465942383,-0.1191,8.17,11.49,298.1883650247702
2022-04-01,117.1688,33.400001525878906,-0.2669,10.04,12.06,269.5029595473497
2022-05-01,119.6962,26.190000534057617,0.3371,8.71,12.12,275.8742104755495
2022-06-01,120.0257,28.709999084472656,0.0484,10.82,11.87,248.01935491968658
2022-07-01,122.7512,21.329999923706055,0.1252,10.31,12.0,292.80632953196897
2022-08-01,122.3178,25.8700008392334,-0.3662,10.71,11.53,235.83155122180185
2022-09-01,125.5946,31.6200008392334,-0.0471,13.02,12.45,248.85490514799466
2022-10-01,127.4806,25.8799991607666,0.0021,11.8,12.59,265.08245600682665
2022-11-01,124.8527,20.579999923706055,-0.2925,11.35,11.79,311.34886671932895
2022-12-01,122.2343,21.670000076293945,-0.0018,10.62,10.91,239.85428870142027
2023-01-01,119.8101,19.399999618530273,-0.3742,10.68,10.34,217.19917934501004
2023-02-01,120.3084,20.700000762939453,-0.4667,9.62,10.57,242.14083289899528
2023-03-01,120.745,18.700000762939453,0.11,9.81,11.9,313.6530364287744
2023-04-01,119.2451,15.779999732971191,-0.3839,8.64,9.83,255.3793500633219
2023-05-01,119.6293,17.940000534057617,-0.4038,8.57,9.86,211.34613104174466
2023-06-01,119.297,13.59000015258789,-0.6141,8.26,8.83,221.45846707536063
2023-07-01,118.0492,13.630000114440918,-0.7361,8.0,8.55,191.73126185560224
2023-08-01,119.8563,13.569999694824219,-0.6703,8.05,8.65,175.50515471617388
2023-09-01,121.6455,17.520000457763672,-0.6682,8.05,8.57,200.63847820558766
2023-10-01,123.4971,18.139999389648438,-0.4113,8.01,8.17,190.4438086122051
2023-11-01,121.2221,12.920000076293945,-0.6748,7.44,7.82,207.97210385954006
2023-12-01,119.8331,12.449999809265137,-0.501,8.11,8.09,223.02369978288257
2024-01-01,120.2274,14.350000381469727,-0.7275,7.85,7.24,239.6974681015976
2024-02-01,121.0659,13.399999618530273,-0.6687,6.87,6.21,167.97191002157467
2024-03-01,120.6588,13.010000228881836,-0.8774,6.6,6.46,179.48343979338063
2024-04-01,122.1428,15.649999618530273,-0.7247,7.65,7.06,171.26273444832714
2024-05-01,121.8583,12.920000076293945,-0.8953,6.84,6.92,184.16442051498547
2024-06-01,123.7095,12.4399995803833,-0.8459,7.52,7.85,173.4343793636483
2024-07-01,123.3824,16.360000610351562,-0.737,7.44,7.76,229.0116408537473
2024-08-01,122.6137,15.0,-0.5087,8.5,9.02,191.11852025074197
2024-09-01,121.8849,16.729999542236328,-0.356,8.55,8.75,202.17762371454685
2024-10-01,123.5953,23.15999984741211,-0.5296,8.99,10.02,204.92841907731767
2024-11-01,126.3113,13.510000228881836,-0.5787,8.86,8.71,282.5926597399031
2024-12-01,127.5758,17.350000381469727,-0.5576,9.19,9.11,327.5750370944677
2025-01-01,128.837,16.43000030517578,-0.7973,8.34,8.4,309.1073681757701
2025-02-01,127.8758,19.6299991607666,-0.7077,8.34,8.11,327.7075661569745
2025-03-01,126.243,22.280000686645508,-0.4588,8.49,8.49,468.84279693223056
2025-04-01,124.1402,24.700000762939453,0.0543,10.02,8.63,623.3520453984211
2025-05-01,122.3422,18.56999969482422,-0.5491,8.93,8.43,511.6903036177236
2025-06-01,120.5939,16.729999542236328,-0.7376,8.73,7.96,368.5934566761253
2025-07-01,120.1127,16.719999313354492,-0.788,8.07,7.41,406.88756978050156
2025-08-01,120.5758,15.359999656677246,-0.6889,8.01,7.08,343.339059719265
2025-09-01,120.0291,16.280000686645508,-0.5329,7.54,6.51,308.47823098184006
2025-10-01,120.7618,17.440000534057617,-0.4671,6.99,6.37,404.8730524836602
2025-11-01,121.4177,16.350000381469727,-0.3387,7.13,6.35,371.09535172579444
2025-12-01,120.1883,14.949999809265137,-0.4265,6.93,6.82,
